"","Ctrl_sham_surgery_1","Ctrl_sham_surgery_2","Ctrl_sham_surgery_3","Ctrl_sham_surgery_4","Ctrl_sham_surgery_5","Sepsis_induced_surgery_1","Sepsis_induced_surgery_2","Sepsis_induced_surgery_3","Sepsis_induced_surgery_4","Sepsis_induced_surgery_5"
"LACTATE",-3.742228578,-3.42184264,-3.636912527,-3.392077613,-3.461408062,-2.993000593,-3.499781264,-4.50184129,-4.199590329,-3.759046963
"LACTOSE",-14.163575,-14.02971408,-14.26706478,-13.92196223,-13.53176509,-13.55236594,-13.04025634,-12.6503481,-12.43275728,-12.79714304
"LAURATE",-13.0398231,-13.47471227,-13.26924575,-13.27419963,-13.88685916,-12.83233051,-12.166562,-12.28177959,-11.52400077,-11.70259529
"LAUROYLCARNITINE",-10.54391585,-10.45885055,-10.21231596,-10.43700948,-11.43737677,-11.38674842,-9.148734268,-8.379883631,-8.148743173,-9.090916431
"LEUCINE",-3.727030106,-3.795848544,-3.763663963,-3.876473921,-3.62232116,-3.831288661,-3.794990466,-4.051222747,-3.943210777,-3.748263612
"LINOLEATE",-2.688934558,-2.690316776,-2.866279655,-3.575968671,-4.217212317,-3.889905964,-2.756341856,-2.214453057,-2.208147427,-2.447464354
"LUMICHROME",-11.07603227,-10.66213312,-10.67595598,-10.9096272,-10.92373907,-10.91874845,-11.16942543,-11.20844298,-10.88792659,-11.14431029
"LYSINE",-8.996937159,-8.85887963,-8.325483605,-8.433561133,-7.692486103,-8.660737666,-8.664508478,-8.946757402,-8.67504696,-9.319057113
"LYXOSE",-11.10336476,-11.13988003,-11.04173869,-10.88803618,-11.0323608,-11.44814353,-11.53202519,-12.01104038,-11.81380251,-11.59856338
"MALATE",-6.177554849,-6.620670424,-6.224169433,-5.617215875,-6.106853688,-7.745350633,-7.524752262,-7.40840798,-7.726862375,-7.067557962
"MALEATE",-9.973187829,-10.31890703,-10.14010447,-10.20931408,-10.34228628,-10.10510348,-10.16296156,-10.04354065,-9.987523253,-9.845108127
"MALONATE",-13.95863415,-15.7815751,-16.36414644,-15.87619287,-16.56523848,-16.38530406,-15.39780835,-11.73444006,-12.74768312,-12.94698928
"MALTOSE",-14.163575,-14.02971408,-14.14871538,-13.98177162,-13.53176509,-13.60319672,-13.04025634,-12.6503481,-12.43275728,-12.79714304
"MANDELATE",-7.622660499,-7.766700407,-7.651039383,-7.804941907,-7.729765989,-7.49613981,-7.430185331,-7.46667656,-7.402724211,-7.411335328
"MANNITOL",-13.0864393,-13.20144358,-13.16545418,-13.30680409,-13.47809643,-13.28415521,-13.50338171,-13.55827748,-13.76360169,-13.54299005
"MANNOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"MANNOSE 6-PHOSPHATE",-11.8181739,-12.17724585,-11.63771857,-11.37219807,-12.38087101,-12.14426021,-12.91838358,-12.64580448,-12.39775145,-12.69303465
"MELATONIN",-15.11576774,-14.37334445,-15.26099242,-14.8796875,-14.49239843,-14.2084711,-15.54754359,-15.06971018,-15.32913123,-15.14544733
"MELIBIOSE",-14.163575,-14.02971408,-14.26706478,-13.92196223,-13.47539728,-13.60319672,-13.1789522,-12.6503481,-12.43275728,-13.17217008
"METHIONINE",-5.555187016,-5.646289516,-4.785925774,-5.457841597,-4.477697662,-5.192756323,-6.089329731,-6.809072556,-6.658940213,-6.607469524
"METHIONINE SULFOXIMINE",-8.53610654,-7.696150474,-8.368233448,-7.97921938,-8.078934495,-7.595216672,-8.044476516,-8.650852908,-8.904012576,-8.371407518
"METHYL 4-AMINOBUTYRATE",-5.379823656,-4.898920582,-5.191047607,-4.982520737,-4.888833555,-5.175897899,-5.192284901,-5.310950981,-5.208135759,-5.496623891
"METHYL ACETOACETATE",-7.912423739,-7.988989327,-8.040627795,-8.17669264,-8.077447693,-7.924008082,-7.993516048,-7.813754048,-7.87383545,-7.806518472
"METHYL VANILLATE",-4.98253797,-5.093645479,-5.118469654,-5.154666296,-5.152873101,-4.997141364,-4.933760838,-4.851401129,-4.823509759,-4.908506856
"METHYLMALONATE",-8.293491751,-8.676809112,-8.67723093,-8.558905914,-9.407699061,-9.794328049,-9.07711696,-10.00239947,-9.451428167,-8.248631872
"METHYLTHIOADENOSINE",-10.37200719,-10.30661319,-10.23087463,-10.33606836,-10.23370038,-10.68527026,-10.12682748,-9.381394291,-10.15251551,-10.14822416
"MEVALONATE",-11.84204874,-11.74949293,-11.62731464,-11.71430643,-11.65343885,-11.12739559,-11.5718378,-10.48670211,-11.23300105,-11.61029223
"MONOETHYLMALONATE",-11.01023569,-10.73564615,-10.13873604,-10.50631525,-10.56887887,-10.76029768,-10.78369223,-10.50566703,-9.752223724,-10.88405256
"MONOMETHYLGLUTARATE",-10.45053273,-10.17583314,-10.3686323,-10.24911793,-10.01716718,-9.861825398,-10.14749866,-10.98502943,-10.52644614,-10.39998067
"MYOINOSITOL",-7.182922251,-6.847111404,-7.253565845,-6.50497607,-6.494562523,-6.853564072,-6.998971661,-7.752085333,-7.59326567,-7.306146124
"MYRISTATE",-9.493887837,-9.571914359,-9.82843787,-10.35849451,-10.73213622,-10.40193103,-9.593524916,-8.648359263,-8.34371966,-8.665208864
"N-ACETYLALANINE",-13.67286572,-13.55014625,-13.59977855,-13.91538624,-13.22874768,-13.81746843,-13.81165379,-12.73639825,-13.10473583,-13.51990644
"N-ACETYLASPARAGINE",-12.39617806,-12.31312692,-11.97088978,-11.96645936,-11.52777772,-12.12806959,-12.52704071,-11.69812616,-12.03204721,-12.68331404
"N-ACETYLASPARTATE",-11.43262484,-11.53259232,-11.15919975,-11.37099576,-11.04624481,-10.99363368,-10.70598524,-11.73224124,-11.16155398,-10.81203835
"N-ACETYLGALACTOSAMINE",-14.31534944,-14.36911331,-13.94862929,-14.13887258,-14.56724881,-14.471178,-13.43687221,-12.52531728,-13.02333452,-14.22132791
"N-ACETYLGLUCOSAMINE (1)",-14.31534944,-14.36911331,-13.94862929,-14.13887258,-14.56724881,-14.471178,-13.43687221,-12.52531728,-13.00598032,-14.22132791
"N-ACETYLGLUTAMATE",-9.719102662,-9.461731442,-9.044584594,-9.016670101,-9.078803299,-9.621134574,-10.12615324,-8.787583549,-10.08956181,-10.17265995
"N-ACETYLGLYCINE",-13.67800118,-14.19963908,-13.74058074,-13.34066604,-13.92040686,-14.27601969,-12.23468623,-10.72432439,-10.79133017,-11.51745496
"N-ACETYLLEUCINE",-8.308231402,-8.556392289,-7.480666416,-8.04423291,-7.429651522,-8.484644929,-8.708387892,-8.232395348,-8.459608854,-8.625122296
"N-ACETYLMANNOSAMINE",-13.12937817,-13.36626662,-13.43996257,-13.56594881,-13.01779638,-12.81425414,-13.21027918,-13.08410454,-13.46557951,-13.82351924
"N-ACETYLMETHIONINE",-8.703749593,-8.578459904,-8.08054073,-8.409469906,-7.729765312,-8.502449503,-9.245157556,-9.676401045,-9.823116405,-9.620269634
"N-ACETYLNEURAMINATE (1)",-12.55126934,-12.22406376,-13.00376232,-11.98007407,-11.38793173,-11.15286114,-11.73138165,-11.58885248,-11.78944281,-11.3515729
"N-ACETYLPHENYLALANINE",-9.211475881,-9.115245712,-8.643875636,-9.391013652,-8.664323464,-8.762057934,-8.68397203,-8.680931288,-8.729653765,-8.512264827
"N-ACETYLSERINE",-10.20481893,-9.953363554,-10.37346715,-9.836944066,-9.810792271,-10.08784902,-10.22149154,-10.14985728,-10.17453538,-10.1463772
"N-ACETYLSEROTONIN",-14.25802032,-13.67181357,-13.96197872,-14.06457614,-15.19984494,-13.8295209,-13.79960688,-13.4538316,-11.59234158,-12.28592855
"N-ACETYLTRYPTOPHAN",-9.133496082,-9.232514234,-8.934534264,-9.025535659,-9.278106501,-9.359002058,-9.371107068,-9.523159877,-9.547766071,-9.316320005
"N-ALPHA-ACETYLLYSINE",-13.0116747,-12.66627492,-12.81761713,-12.49793848,-12.83067393,-13.0278596,-12.97236826,-12.40795432,-12.75446423,-12.96103268
"N-FORMYL-L-METHIONINE",-11.3118034,-10.97720293,-10.9416898,-10.83983731,-10.87700403,-10.89626972,-10.72182009,-11.12073158,-10.84496165,-10.82091878
"N-METHYLASPARTATE",-10.20481893,-9.953363554,-10.37346715,-9.851885805,-9.810792271,-10.08784902,-10.22149154,-10.14985728,-10.17453538,-10.1463772
"N-METHYLGLUTAMATE",-10.96365081,-10.96481436,-10.92184935,-10.76405958,-11.14407859,-11.44733858,-11.39194294,-12.01471004,-11.70010363,-11.25996937
"N-METYL-ALANINE",-10.62626248,-10.46250228,-10.59922484,-10.36199098,-10.65330882,-10.11216204,-10.21991719,-9.53332326,-9.712348672,-10.25996937
"N,N-DIMETHYLARGININE",-10.84045958,-11.07208021,-10.81763869,-10.50556241,-10.53602814,-11.18435649,-10.86881522,-10.81877483,-10.70332488,-11.09276347
"N,N,N-TRIMETHYLLYSINE",-9.019816865,-8.89503472,-9.124535717,-9.168349914,-9.106837534,-9.000230167,-8.588648142,-8.157532939,-8.280031465,-8.901588962
"N6-(DELTA2-ISOPENTENYL)-ADENINE",-13.68305921,-14.34060766,-13.04611406,-13.42273262,-13.08999776,-13.72385913,-13.67407599,-12.48648482,-13.73248692,-13.34021871
"NERVONATE",-11.14053198,-11.49866034,-11.12647276,-11.5963807,-11.54870239,-10.80398581,-11.2545371,-10.87938628,-10.60853243,-11.22621539
"NICOTINAMIDE",-7.719016959,-7.402301561,-7.797788158,-8.246112145,-7.831047432,-10.34525666,-9.579534986,-10.5188504,-10.62350565,-9.358204939
"NICOTINAMIDE MONONUCLEOTIDE",-14.48113635,-14.27490574,-14.33595986,-14.62664197,-14.49166845,-14.60744369,-14.0166143,-13.43787933,-13.88102456,-14.21495839
"NICOTINATE",-14.62024168,-14.37467136,-13.78292441,-13.78110296,-15.31252004,-13.02945573,-13.02845181,-12.33634653,-13.11674528,-12.72255702
